sub_sentence	context	target_sentence
read to from Do and Dare, or Frank on the Mississippi, Amory was biting acquiescent bellboys in the Waldorf, outgrowing a natural repugnance to chamber music and symphonies, and deriving a highly specialized education from his mother.	This trouble pleased her, and later she made use of it as an intrinsic part of her atmosphere—especially after several astounding bracers. So, while more or less fortunate little rich boys were defying governesses on the beach at Newport, or being spanked or tutored or read to from Do and Dare, or Frank on the Mississippi, Amory was biting acquiescent bellboys in the Waldorf, outgrowing a natural repugnance to chamber music and symphonies, and deriving a highly specialized education from his mother. “Amory.”	So, while more or less fortunate little rich boys were defying governesses on the beach at Newport, or being spanked or tutored or read to from Do and Dare, or Frank on the Mississippi, Amory was biting acquiescent bellboys in the Waldorf, outgrowing a natural repugnance to chamber music and symphonies, and deriving a highly specialized education from his mother.
acquiescent bellboys	This trouble pleased her, and later she made use of it as an intrinsic part of her atmosphere—especially after several astounding bracers. So, while more or less fortunate little rich boys were defying governesses on the beach at Newport, or being spanked or tutored or read to from Do and Dare, or Frank on the Mississippi, Amory was biting acquiescent bellboys in the Waldorf, outgrowing a natural repugnance to chamber music and symphonies, and deriving a highly specialized education from his mother. “Amory.”	So, while more or less fortunate little rich boys were defying governesses on the beach at Newport, or being spanked or tutored or read to from Do and Dare, or Frank on the Mississippi, Amory was biting acquiescent bellboys in the Waldorf, outgrowing a natural repugnance to chamber music and symphonies, and deriving a highly specialized education from his mother.
chamber music	This trouble pleased her, and later she made use of it as an intrinsic part of her atmosphere—especially after several astounding bracers. So, while more or less fortunate little rich boys were defying governesses on the beach at Newport, or being spanked or tutored or read to from Do and Dare, or Frank on the Mississippi, Amory was biting acquiescent bellboys in the Waldorf, outgrowing a natural repugnance to chamber music and symphonies, and deriving a highly specialized education from his mother. “Amory.”	So, while more or less fortunate little rich boys were defying governesses on the beach at Newport, or being spanked or tutored or read to from Do and Dare, or Frank on the Mississippi, Amory was biting acquiescent bellboys in the Waldorf, outgrowing a natural repugnance to chamber music and symphonies, and deriving a highly specialized education from his mother.
a natural repugnance	This trouble pleased her, and later she made use of it as an intrinsic part of her atmosphere—especially after several astounding bracers. So, while more or less fortunate little rich boys were defying governesses on the beach at Newport, or being spanked or tutored or read to from Do and Dare, or Frank on the Mississippi, Amory was biting acquiescent bellboys in the Waldorf, outgrowing a natural repugnance to chamber music and symphonies, and deriving a highly specialized education from his mother. “Amory.”	So, while more or less fortunate little rich boys were defying governesses on the beach at Newport, or being spanked or tutored or read to from Do and Dare, or Frank on the Mississippi, Amory was biting acquiescent bellboys in the Waldorf, outgrowing a natural repugnance to chamber music and symphonies, and deriving a highly specialized education from his mother.
“Yes, Beatrice	“Amory.” “Yes, Beatrice.” (Such a quaint name for his mother; she encouraged it.)	“Yes, Beatrice.”
name for his mother; she encouraged it.)	“Yes, Beatrice.” (Such a quaint name for his mother; she encouraged it.) “Dear, don’t think of getting out of bed yet.	(Such a quaint name for his mother; she encouraged it.)
think of getting out of bed yet.	(Such a quaint name for his mother; she encouraged it.) “Dear, don’t think of getting out of bed yet. I’ve always suspected that early rising in early life makes one nervous.	“Dear, don’t think of getting out of bed yet.
rising in early life makes one nervous.	“Dear, don’t think of getting out of bed yet. I’ve always suspected that early rising in early life makes one nervous. Clothilde is having your breakfast brought up.”	I’ve always suspected that early rising in early life makes one nervous.
early life	“Dear, don’t think of getting out of bed yet. I’ve always suspected that early rising in early life makes one nervous. Clothilde is having your breakfast brought up.”	I’ve always suspected that early rising in early life makes one nervous.
facile as Bernhardt’s.	“All right.” “I am feeling very old today, Amory,” she would sigh, her face a rare cameo of pathos, her voice exquisitely modulated, her hands as facile as Bernhardt’s. “My nerves are on edge—on edge.	“I am feeling very old today, Amory,” she would sigh, her face a rare cameo of pathos, her voice exquisitely modulated, her hands as facile as Bernhardt’s.
a rare cameo	“All right.” “I am feeling very old today, Amory,” she would sigh, her face a rare cameo of pathos, her voice exquisitely modulated, her hands as facile as Bernhardt’s. “My nerves are on edge—on edge.	“I am feeling very old today, Amory,” she would sigh, her face a rare cameo of pathos, her voice exquisitely modulated, her hands as facile as Bernhardt’s.
are on edge—on edge.	“I am feeling very old today, Amory,” she would sigh, her face a rare cameo of pathos, her voice exquisitely modulated, her hands as facile as Bernhardt’s. “My nerves are on edge—on edge. We must leave this terrifying place tomorrow and go searching for sunshine.”	“My nerves are on edge—on edge.
this terrifying place	“My nerves are on edge—on edge. We must leave this terrifying place tomorrow and go searching for sunshine.” Amory’s penetrating green eyes would look out through tangled hair at his mother.	We must leave this terrifying place tomorrow and go searching for sunshine.”
searching for sunshine.”	“My nerves are on edge—on edge. We must leave this terrifying place tomorrow and go searching for sunshine.” Amory’s penetrating green eyes would look out through tangled hair at his mother.	We must leave this terrifying place tomorrow and go searching for sunshine.”
green eyes	We must leave this terrifying place tomorrow and go searching for sunshine.” Amory’s penetrating green eyes would look out through tangled hair at his mother. Even at this age he had no illusions about her.	Amory’s penetrating green eyes would look out through tangled hair at his mother.
tangled hair	We must leave this terrifying place tomorrow and go searching for sunshine.” Amory’s penetrating green eyes would look out through tangled hair at his mother. Even at this age he had no illusions about her.	Amory’s penetrating green eyes would look out through tangled hair at his mother.
look out through tangled hair at his mother.	We must leave this terrifying place tomorrow and go searching for sunshine.” Amory’s penetrating green eyes would look out through tangled hair at his mother. Even at this age he had no illusions about her.	Amory’s penetrating green eyes would look out through tangled hair at his mother.
illusions about her.	Amory’s penetrating green eyes would look out through tangled hair at his mother. Even at this age he had no illusions about her. “Amory.”	Even at this age he had no illusions about her.
bear it, and just relax your nerves.	“Oh, yes.” “I want you to take a red-hot bath as hot as you can bear it, and just relax your nerves. You can read in the tub if you wish.”	“I want you to take a red-hot bath as hot as you can bear it, and just relax your nerves.
a red-hot bath	“Oh, yes.” “I want you to take a red-hot bath as hot as you can bear it, and just relax your nerves. You can read in the tub if you wish.”	“I want you to take a red-hot bath as hot as you can bear it, and just relax your nerves.
wish.”	“I want you to take a red-hot bath as hot as you can bear it, and just relax your nerves. You can read in the tub if you wish.” She fed him sections of the Fêtes Galantes before he was ten; at eleven he could talk glibly, if rather reminiscently, of Brahms and Mozart and Beethoven.	You can read in the tub if you wish.”
the Fêtes Galantes	You can read in the tub if you wish.” She fed him sections of the Fêtes Galantes before he was ten; at eleven he could talk glibly, if rather reminiscently, of Brahms and Mozart and Beethoven. One afternoon, when left alone in the hotel at Hot Springs, he sampled his mother’s apricot cordial, and as the taste pleased him, he became quite tipsy.	She fed him sections of the Fêtes Galantes before he was ten; at eleven he could talk glibly, if rather reminiscently, of Brahms and Mozart and Beethoven.
fed him sections of the Fêtes Galantes before he was ten; at eleven he could talk glibly, if rather reminiscently, of Brahms and Mozart and Beethoven.	You can read in the tub if you wish.” She fed him sections of the Fêtes Galantes before he was ten; at eleven he could talk glibly, if rather reminiscently, of Brahms and Mozart and Beethoven. One afternoon, when left alone in the hotel at Hot Springs, he sampled his mother’s apricot cordial, and as the taste pleased him, he became quite tipsy.	She fed him sections of the Fêtes Galantes before he was ten; at eleven he could talk glibly, if rather reminiscently, of Brahms and Mozart and Beethoven.
hotel at Hot Springs, he sampled his mother’s apricot cordial, and as the taste pleased him, he became quite tipsy.	She fed him sections of the Fêtes Galantes before he was ten; at eleven he could talk glibly, if rather reminiscently, of Brahms and Mozart and Beethoven. One afternoon, when left alone in the hotel at Hot Springs, he sampled his mother’s apricot cordial, and as the taste pleased him, he became quite tipsy. This was fun for a while, but he essayed a cigarette in his exaltation, and succumbed to a vulgar, plebeian reaction.	One afternoon, when left alone in the hotel at Hot Springs, he sampled his mother’s apricot cordial, and as the taste pleased him, he became quite tipsy.
a vulgar, plebeian reaction	One afternoon, when left alone in the hotel at Hot Springs, he sampled his mother’s apricot cordial, and as the taste pleased him, he became quite tipsy. This was fun for a while, but he essayed a cigarette in his exaltation, and succumbed to a vulgar, plebeian reaction. Though this incident horrified Beatrice, it also secretly amused her and became part of what in a later generation would have been termed her “line.”	This was fun for a while, but he essayed a cigarette in his exaltation, and succumbed to a vulgar, plebeian reaction.
succumbed to a vulgar, plebeian reaction.	One afternoon, when left alone in the hotel at Hot Springs, he sampled his mother’s apricot cordial, and as the taste pleased him, he became quite tipsy. This was fun for a while, but he essayed a cigarette in his exaltation, and succumbed to a vulgar, plebeian reaction. Though this incident horrified Beatrice, it also secretly amused her and became part of what in a later generation would have been termed her “line.”	This was fun for a while, but he essayed a cigarette in his exaltation, and succumbed to a vulgar, plebeian reaction.
a later generation	This was fun for a while, but he essayed a cigarette in his exaltation, and succumbed to a vulgar, plebeian reaction. Though this incident horrified Beatrice, it also secretly amused her and became part of what in a later generation would have been termed her “line.” “This son of mine,” he heard her tell a room full of awestruck, admiring women one day, “is entirely sophisticated and quite charming—but delicate—we’re all delicate; here, you know.”	Though this incident horrified Beatrice, it also secretly amused her and became part of what in a later generation would have been termed her “line.”
termed her “line.”	This was fun for a while, but he essayed a cigarette in his exaltation, and succumbed to a vulgar, plebeian reaction. Though this incident horrified Beatrice, it also secretly amused her and became part of what in a later generation would have been termed her “line.” “This son of mine,” he heard her tell a room full of awestruck, admiring women one day, “is entirely sophisticated and quite charming—but delicate—we’re all delicate; here, you know.”	Though this incident horrified Beatrice, it also secretly amused her and became part of what in a later generation would have been termed her “line.”
her “line	This was fun for a while, but he essayed a cigarette in his exaltation, and succumbed to a vulgar, plebeian reaction. Though this incident horrified Beatrice, it also secretly amused her and became part of what in a later generation would have been termed her “line.” “This son of mine,” he heard her tell a room full of awestruck, admiring women one day, “is entirely sophisticated and quite charming—but delicate—we’re all delicate; here, you know.”	Though this incident horrified Beatrice, it also secretly amused her and became part of what in a later generation would have been termed her “line.”
son of mine,” he heard her tell a room full of awestruck, admiring women one day, “is entirely sophisticated and quite charming—but delicate—we’re all delicate; here, you know.”	Though this incident horrified Beatrice, it also secretly amused her and became part of what in a later generation would have been termed her “line.” “This son of mine,” he heard her tell a room full of awestruck, admiring women one day, “is entirely sophisticated and quite charming—but delicate—we’re all delicate; here, you know.” Her hand was radiantly outlined against her beautiful bosom; then sinking her voice to a whisper, she told them of the apricot cordial.	“This son of mine,” he heard her tell a room full of awestruck, admiring women one day, “is entirely sophisticated and quite charming—but delicate—we’re all delicate; here, you know.”
her beautiful bosom	“This son of mine,” he heard her tell a room full of awestruck, admiring women one day, “is entirely sophisticated and quite charming—but delicate—we’re all delicate; here, you know.” Her hand was radiantly outlined against her beautiful bosom; then sinking her voice to a whisper, she told them of the apricot cordial. They rejoiced, for she was a brave raconteuse, but many were the keys turned in sideboard locks that night against the possible defection of little Bobby or Barbara.	Her hand was radiantly outlined against her beautiful bosom; then sinking her voice to a whisper, she told them of the apricot cordial.
told them of the apricot cordial.	“This son of mine,” he heard her tell a room full of awestruck, admiring women one day, “is entirely sophisticated and quite charming—but delicate—we’re all delicate; here, you know.” Her hand was radiantly outlined against her beautiful bosom; then sinking her voice to a whisper, she told them of the apricot cordial. They rejoiced, for she was a brave raconteuse, but many were the keys turned in sideboard locks that night against the possible defection of little Bobby or Barbara.	Her hand was radiantly outlined against her beautiful bosom; then sinking her voice to a whisper, she told them of the apricot cordial.
a brave raconteuse	Her hand was radiantly outlined against her beautiful bosom; then sinking her voice to a whisper, she told them of the apricot cordial. They rejoiced, for she was a brave raconteuse, but many were the keys turned in sideboard locks that night against the possible defection of little Bobby or Barbara. These domestic pilgrimages were invariably in state; two maids, the private car, or Mr. Blaine when available, and very often a physician.	They rejoiced, for she was a brave raconteuse, but many were the keys turned in sideboard locks that night against the possible defection of little Bobby or Barbara.
little Bobby	Her hand was radiantly outlined against her beautiful bosom; then sinking her voice to a whisper, she told them of the apricot cordial. They rejoiced, for she was a brave raconteuse, but many were the keys turned in sideboard locks that night against the possible defection of little Bobby or Barbara. These domestic pilgrimages were invariably in state; two maids, the private car, or Mr. Blaine when available, and very often a physician.	They rejoiced, for she was a brave raconteuse, but many were the keys turned in sideboard locks that night against the possible defection of little Bobby or Barbara.
the possible defection	Her hand was radiantly outlined against her beautiful bosom; then sinking her voice to a whisper, she told them of the apricot cordial. They rejoiced, for she was a brave raconteuse, but many were the keys turned in sideboard locks that night against the possible defection of little Bobby or Barbara. These domestic pilgrimages were invariably in state; two maids, the private car, or Mr. Blaine when available, and very often a physician.	They rejoiced, for she was a brave raconteuse, but many were the keys turned in sideboard locks that night against the possible defection of little Bobby or Barbara.
defection of little Bobby or Barbara.	Her hand was radiantly outlined against her beautiful bosom; then sinking her voice to a whisper, she told them of the apricot cordial. They rejoiced, for she was a brave raconteuse, but many were the keys turned in sideboard locks that night against the possible defection of little Bobby or Barbara. These domestic pilgrimages were invariably in state; two maids, the private car, or Mr. Blaine when available, and very often a physician.	They rejoiced, for she was a brave raconteuse, but many were the keys turned in sideboard locks that night against the possible defection of little Bobby or Barbara.
sideboard locks	Her hand was radiantly outlined against her beautiful bosom; then sinking her voice to a whisper, she told them of the apricot cordial. They rejoiced, for she was a brave raconteuse, but many were the keys turned in sideboard locks that night against the possible defection of little Bobby or Barbara. These domestic pilgrimages were invariably in state; two maids, the private car, or Mr. Blaine when available, and very often a physician.	They rejoiced, for she was a brave raconteuse, but many were the keys turned in sideboard locks that night against the possible defection of little Bobby or Barbara.
the private car	They rejoiced, for she was a brave raconteuse, but many were the keys turned in sideboard locks that night against the possible defection of little Bobby or Barbara. These domestic pilgrimages were invariably in state; two maids, the private car, or Mr. Blaine when available, and very often a physician. When Amory had the whooping-cough four disgusted specialists glared at each other hunched around his bed; when he took scarlet fever the number of attendants, including physicians and nurses, totalled fourteen.	These domestic pilgrimages were invariably in state; two maids, the private car, or Mr. Blaine when available, and very often a physician.
These domestic pilgrimages	They rejoiced, for she was a brave raconteuse, but many were the keys turned in sideboard locks that night against the possible defection of little Bobby or Barbara. These domestic pilgrimages were invariably in state; two maids, the private car, or Mr. Blaine when available, and very often a physician. When Amory had the whooping-cough four disgusted specialists glared at each other hunched around his bed; when he took scarlet fever the number of attendants, including physicians and nurses, totalled fourteen.	These domestic pilgrimages were invariably in state; two maids, the private car, or Mr. Blaine when available, and very often a physician.
very often a physician	They rejoiced, for she was a brave raconteuse, but many were the keys turned in sideboard locks that night against the possible defection of little Bobby or Barbara. These domestic pilgrimages were invariably in state; two maids, the private car, or Mr. Blaine when available, and very often a physician. When Amory had the whooping-cough four disgusted specialists glared at each other hunched around his bed; when he took scarlet fever the number of attendants, including physicians and nurses, totalled fourteen.	These domestic pilgrimages were invariably in state; two maids, the private car, or Mr. Blaine when available, and very often a physician.
pilgrimages were invariably in state; two maids, the private car, or Mr. Blaine when available, and very often a physician.	They rejoiced, for she was a brave raconteuse, but many were the keys turned in sideboard locks that night against the possible defection of little Bobby or Barbara. These domestic pilgrimages were invariably in state; two maids, the private car, or Mr. Blaine when available, and very often a physician. When Amory had the whooping-cough four disgusted specialists glared at each other hunched around his bed; when he took scarlet fever the number of attendants, including physicians and nurses, totalled fourteen.	These domestic pilgrimages were invariably in state; two maids, the private car, or Mr. Blaine when available, and very often a physician.
two maids	They rejoiced, for she was a brave raconteuse, but many were the keys turned in sideboard locks that night against the possible defection of little Bobby or Barbara. These domestic pilgrimages were invariably in state; two maids, the private car, or Mr. Blaine when available, and very often a physician. When Amory had the whooping-cough four disgusted specialists glared at each other hunched around his bed; when he took scarlet fever the number of attendants, including physicians and nurses, totalled fourteen.	These domestic pilgrimages were invariably in state; two maids, the private car, or Mr. Blaine when available, and very often a physician.
the whooping-cough four disgusted specialists	These domestic pilgrimages were invariably in state; two maids, the private car, or Mr. Blaine when available, and very often a physician. When Amory had the whooping-cough four disgusted specialists glared at each other hunched around his bed; when he took scarlet fever the number of attendants, including physicians and nurses, totalled fourteen. However, blood being thicker than broth, he was pulled through.	When Amory had the whooping-cough four disgusted specialists glared at each other hunched around his bed; when he took scarlet fever the number of attendants, including physicians and nurses, totalled fourteen.
totalled fourteen.	These domestic pilgrimages were invariably in state; two maids, the private car, or Mr. Blaine when available, and very often a physician. When Amory had the whooping-cough four disgusted specialists glared at each other hunched around his bed; when he took scarlet fever the number of attendants, including physicians and nurses, totalled fourteen. However, blood being thicker than broth, he was pulled through.	When Amory had the whooping-cough four disgusted specialists glared at each other hunched around his bed; when he took scarlet fever the number of attendants, including physicians and nurses, totalled fourteen.
scarlet fever	These domestic pilgrimages were invariably in state; two maids, the private car, or Mr. Blaine when available, and very often a physician. When Amory had the whooping-cough four disgusted specialists glared at each other hunched around his bed; when he took scarlet fever the number of attendants, including physicians and nurses, totalled fourteen. However, blood being thicker than broth, he was pulled through.	When Amory had the whooping-cough four disgusted specialists glared at each other hunched around his bed; when he took scarlet fever the number of attendants, including physicians and nurses, totalled fourteen.
pulled through.	When Amory had the whooping-cough four disgusted specialists glared at each other hunched around his bed; when he took scarlet fever the number of attendants, including physicians and nurses, totalled fourteen. However, blood being thicker than broth, he was pulled through. The Blaines were attached to no city.	However, blood being thicker than broth, he was pulled through.
attached to no city.	However, blood being thicker than broth, he was pulled through. The Blaines were attached to no city. They were the Blaines of Lake Geneva; they had quite enough relatives to serve in place of friends, and an enviable standing from Pasadena to Cape Cod.	The Blaines were attached to no city.
quite enough relatives	The Blaines were attached to no city. They were the Blaines of Lake Geneva; they had quite enough relatives to serve in place of friends, and an enviable standing from Pasadena to Cape Cod. But Beatrice grew more and more prone to like only new acquaintances, as there were certain stories, such as the history of her constitution and its many amendments, memories of her years abroad, tha	They were the Blaines of Lake Geneva; they had quite enough relatives to serve in place of friends, and an enviable standing from Pasadena to Cape Cod.
serve in place of friends, and an enviable standing from Pasadena to Cape Cod.	The Blaines were attached to no city. They were the Blaines of Lake Geneva; they had quite enough relatives to serve in place of friends, and an enviable standing from Pasadena to Cape Cod. But Beatrice grew more and more prone to like only new acquaintances, as there were certain stories, such as the history of her constitution and its many amendments, memories of her years abroad, tha	They were the Blaines of Lake Geneva; they had quite enough relatives to serve in place of friends, and an enviable standing from Pasadena to Cape Cod.
an enviable standing	The Blaines were attached to no city. They were the Blaines of Lake Geneva; they had quite enough relatives to serve in place of friends, and an enviable standing from Pasadena to Cape Cod. But Beatrice grew more and more prone to like only new acquaintances, as there were certain stories, such as the history of her constitution and its many amendments, memories of her years abroad, tha	They were the Blaines of Lake Geneva; they had quite enough relatives to serve in place of friends, and an enviable standing from Pasadena to Cape Cod.
history of her constitution and its many amendments, memories of her years abroad, tha	They were the Blaines of Lake Geneva; they had quite enough relatives to serve in place of friends, and an enviable standing from Pasadena to Cape Cod. But Beatrice grew more and more prone to like only new acquaintances, as there were certain stories, such as the history of her constitution and its many amendments, memories of her years abroad, tha	But Beatrice grew more and more prone to like only new acquaintances, as there were certain stories, such as the history of her constitution and its many amendments, memories of her years abroad, tha
only new acquaintances	They were the Blaines of Lake Geneva; they had quite enough relatives to serve in place of friends, and an enviable standing from Pasadena to Cape Cod. But Beatrice grew more and more prone to like only new acquaintances, as there were certain stories, such as the history of her constitution and its many amendments, memories of her years abroad, tha	But Beatrice grew more and more prone to like only new acquaintances, as there were certain stories, such as the history of her constitution and its many amendments, memories of her years abroad, tha
certain stories	They were the Blaines of Lake Geneva; they had quite enough relatives to serve in place of friends, and an enviable standing from Pasadena to Cape Cod. But Beatrice grew more and more prone to like only new acquaintances, as there were certain stories, such as the history of her constitution and its many amendments, memories of her years abroad, tha	But Beatrice grew more and more prone to like only new acquaintances, as there were certain stories, such as the history of her constitution and its many amendments, memories of her years abroad, tha
its many amendments	They were the Blaines of Lake Geneva; they had quite enough relatives to serve in place of friends, and an enviable standing from Pasadena to Cape Cod. But Beatrice grew more and more prone to like only new acquaintances, as there were certain stories, such as the history of her constitution and its many amendments, memories of her years abroad, tha	But Beatrice grew more and more prone to like only new acquaintances, as there were certain stories, such as the history of her constitution and its many amendments, memories of her years abroad, tha
